sourceRecordId,name,address,city,state,postalCode,country,countryCode,geocodeStatus,rejectionReasons,requestError,geocoder,checkedAt
embassy-791b12d7e916b4,ABC Health Center,"Rruga Qemal Stafa Nr. 260, Tirana, Albania",Tirana,,,Albania,AL,unresolved_no_exact_match,result_is_not_a_building_address_or_named_facility; city_not_exact; house_number_not_exact,,OpenStreetMap Nominatim,2026-07-14T18:03:25.394Z
embassy-75752622e79422,American Hospital of Fier,"Lagjja 1 Maji, Rruga Cameri, Fier 9301, Albania",Fier,,9301,Albania,AL,unresolved_no_exact_match,,,OpenStreetMap Nominatim,2026-07-14T18:03:28.930Z
embassy-ecbce69e6bbf56,American Medical Center,"L. 18, Rruga Ahmet Ramzoti, Durres, Albania",Durres,,,Albania,AL,unresolved_no_exact_match,result_is_not_a_building_address_or_named_facility; no_exact_house_number_or_exact_facility_name,,OpenStreetMap Nominatim,2026-07-14T18:03:32.238Z
embassy-3cc6a8a9a7eef4,Diamond Dental Hospital,"Kryqëzimi 21-Dhjetorit, Tirana, Albania",Tirana,,,Albania,AL,unresolved_no_exact_match,,,OpenStreetMap Nominatim,2026-07-14T18:03:35.731Z
embassy-2333ae05a44972,Dodbiba Dental Clinic,"Rr. Hoxha Tahsin, Nr. 21, Tirana, Albania",Tirana,,,Albania,AL,unresolved_no_exact_match,,,OpenStreetMap Nominatim,2026-07-14T18:03:38.717Z
embassy-07424eb6ad3858,"Dr. BAKIRI, Alketa","Rruga Sabaudin Gabrani, Nr. 2, Tirana, Albania",Tirana,,,Albania,AL,unresolved_no_exact_match,result_is_not_a_building_address_or_named_facility; city_not_exact; house_number_not_exact,,OpenStreetMap Nominatim,2026-07-14T18:03:42.288Z
embassy-1ee861998e2d7c,"Dr. CELA, Dritan","Rruga Lord Bajron, Tirana, Albania",Tirana,,,Albania,AL,unresolved_no_exact_match,,,OpenStreetMap Nominatim,2026-07-14T18:03:45.845Z
embassy-0e62943370d9af,"Dr. CELA, Durim","Rr. Kavajes, Kompleksi Delijorgji, Kulla H, Kt. 2, Tirana, Albania",Tirana,,,Albania,AL,unresolved_no_exact_match,,,OpenStreetMap Nominatim,2026-07-14T18:03:49.214Z
embassy-64bd6d5ff66d5d,"Dr. CILI, Alma","Rruga e Dibres, Nr. 372, Tirana, Albania",Tirana,,,Albania,AL,unresolved_no_exact_match,result_is_not_a_building_address_or_named_facility; city_not_exact; house_number_not_exact,,OpenStreetMap Nominatim,2026-07-14T18:03:52.680Z
embassy-318dc11c3b7776,"Dr. DUSHAJ, Dritan","Rr. Nikolla Lena (Kryqezimi me Rrugen e Kavajes), Tirana, Albania",Tirana,,,Albania,AL,unresolved_no_exact_match,,,OpenStreetMap Nominatim,2026-07-14T18:03:56.242Z
